,aeronet,radiosonde,dist,n,rmse,corr,m,r2,e_mean,e_sd,perc_e_mean,perc_e_sd,Category1_SmallIsland,Category2_SeparatedLandMass,Category3_SmallIsland_LargeOceanMass,Category4_SeparatedLargerIsland,Category5_FewSamples,UK,Europe,Global,rtype,tracksys,radcorr
236,Baneasa,bucuresti/imh,4.565923487,62,1.212021072,0.985815794,1.016726227,0.996824329,-0.277483701,1.189461017,-0.378784765,6.070279946,NA,NA,0,0,1,0,1,1,NA,NA,NA
240,Ubon_Ratchathani,ubon ratchathani,0.656380383,16,8.112887965,0.765449532,1.124462346,0.972697497,-4.210369703,7.162252018,-6.984296667,16.1067701,NA,NA,0,0,1,0,0,1,37,2,5
241,IIT_KGP_EXT_Kolkata,calcutta/dum dum,9.025061215,3,8.032020899,0.982549103,1.159153794,0.99433301,-6.514116167,5.754952252,-11.29392339,10.00639525,NA,NA,0,0,1,0,0,1,20,2,0
244,Kuwait_Airport,kuwait international airport,2.966892691,13,2.641580551,0.950540673,0.91386206,0.987319226,1.593581411,2.192787406,11.60356418,16.98644328,NA,NA,0,0,1,0,0,1,80,8,4
249,Kelowna_UAS,kelowna: bc.,3.109959574,213,1.291140197,0.972861913,1.016102321,0.991184742,-0.215499875,1.276027886,-0.787864007,10.30788344,NA,NA,0,0,0,0,0,1,80,6,4
251,TUBITAK_UZAY_Ankara,ankara/central,11.04417028,164,1.844368293,0.97557127,1.08936574,0.989745957,-1.01303151,1.545973785,-6.479820279,10.54099154,NA,NA,0,0,0,0,0,1,17,8,5
252,Ittoqqortoormiit,scoresbysund,0.587412806,109,0.823792792,0.989435111,1.046880623,0.995718883,-0.342113849,0.752856301,-1.707199646,7.583114098,0,1,0,1,0,0,0,1,80,6,4
256,Brisbane-Uni_of_QLD,brisbane airport m.o,15.24243842,101,1.510147677,0.976040337,0.99403728,0.995414361,0.033372125,1.51730901,0.219238855,8.07065367,NA,NA,0,0,0,0,0,1,80,3,4
257,Sable_Island,sable island:n.s.,0.562074098,74,2.447695256,0.949867655,1.038377404,0.98398041,-0.410464545,2.429504962,0.760143181,14.83224784,NA,NA,1,0,1,0,0,1,80,6,4
260,Tiksi,tiksi,0.463931294,53,4.314426394,0.918147718,1.266585235,0.984745776,-3.617687103,2.373372324,-19.28857136,23.35598766,0,0,0,0,1,0,0,1,27,3,5
262,Manus,momote m.o.,1.178615935,17,9.688203168,0.77689886,1.255405935,0.992427527,-8.802169142,4.172174816,-19.47869834,6.777610253,NA,NA,1,0,1,0,0,1,NA,NA,NA
263,ARM_Darwin,darwin airport,3.799204428,41,2.55326697,0.971002342,1.019813252,0.996904805,-0.853924991,2.436130937,-1.828920027,5.730337391,NA,NA,0,0,1,0,0,1,80,3,4
265,Minqin,minqin,11.17716713,4,1.734413034,0.863826583,0.983514201,0.937313288,-0.146498417,1.995570691,8.392887084,38.56259337,NA,NA,0,0,1,0,0,1,NA,NA,NA
267,Rio_de_Janeiro_UFRJ,rio de janeiro/galeao,4.757019037,10,1.936832064,0.986328256,0.954414742,0.999398197,1.722160684,0.934214477,4.957090759,3.05397722,NA,NA,0,0,1,0,0,1,NA,NA,NA
269,San_Nicolas_Vandal,san nicolas is./nf: ca.,8.192434071,11,1.925097501,0.969389764,1.15483573,0.986519095,-1.453809191,1.323511673,-15.45766248,14.63129475,NA,NA,0,0,1,0,0,1,80,8,4
271,Pretoria_CSIR-DPSS,pretoria (irene),18.82577097,128,3.518081023,0.904232938,1.094219755,0.962718879,-1.214408967,3.314807429,-1.336165915,27.84736854,NA,NA,0,0,0,0,0,1,NA,NA,NA
279,Kuching,kuching,1.927075242,9,6.655284478,0.902571156,1.141198242,0.998793446,-6.374041713,2.030382767,-12.19984723,3.248412099,NA,NA,0,0,1,0,0,1,57,8,4
287,USM_Penang,penang/bayan lepas,7.540251898,,,,,,,,,,NA,NA,0,0,1,0,0,1,57,8,4
288,DRAGON_Fukuoka,fukuoka,10.75714477,19,0.854389524,0.983367468,0.998895249,0.993980063,0.142773269,0.865459024,4.595433095,11.90455972,NA,NA,0,1,1,0,0,1,80,8,4
289,DRAGON_Tsukuba,tateno,1.147989066,40,0.864728772,0.992164282,1.00747699,0.995618443,-0.008150781,0.875705966,1.207907422,9.718703894,0,0,0,1,1,0,0,1,80,8,4
290,Sandia_NM_PSEL,albuquerque/int.:nm.,7.036770641,22,2.216270005,0.873070282,1.454477381,0.967977866,-1.809773755,1.309390574,-28.14306516,15.52495669,NA,NA,0,0,1,0,0,1,87,8,5
306,Kyiv-AO,kyiv,7.645547078,18,3.00523248,0.951987387,0.887235143,0.991308686,2.416537992,1.838346365,14.65033386,10.08711701,0,0,0,0,1,0,1,1,16,3,3
307,Tahir,penang/bayan lepas,14.52149588,,,,,,,,,,NA,NA,0,0,1,0,0,1,57,8,4
311,Dhaka_University,dhaka,4.542321187,17,11.51131496,0.935084069,1.277368776,0.988965269,-10.20062751,5.498742457,-21.49541669,9.906178978,NA,NA,0,0,1,0,0,1,NA,NA,NA
312,DRAGON_Permatang_DL,penang/bayan lepas,2.487622519,,,,,,,,,,NA,NA,0,0,1,0,0,1,57,8,4
335,DRAGON_Gwangju_GIST,kwangju ab,12.55959321,36,2.174400827,0.902375203,1.236828253,0.964100281,-1.734725569,1.329606404,-22.50174,22.55900075,NA,NA,0,0,1,0,0,1,21,6,5
