,bigf,radiosonde,dist,n,rmse,corr,m,r2,e_mean,e_sd,perc_e_mean,perc_e_sd,Category1_SmallIsland,Category2_SeparatedLandMass,Category3_SmallIsland_LargeOceanMass,Category4_SeparatedLargerIsland,Category5_FewSamples,UK,Europe,Global,rtype,tracksys,radcorr
138,tah1,tahiti-faaa,3.19937876,501,5.217432943,0.763737849,0.979569263,0.987419702,0.67150641,5.179211043,2.297079075,13.10233599,1,0,1,0,0,0,0,1,57,8,4
139,tehn,tehran-mehrabad,2.213673202,621,2.298728765,0.942586337,0.826294107,0.98095689,1.81759245,1.40844098,26.15454097,24.45872812,0,0,0,0,0,0,0,1,NA,NA,NA
140,thti,tahiti-faaa,3.192953025,501,5.152696781,0.76918652,0.979681373,0.987738527,0.664128162,5.114825152,2.233735853,12.8611358,1,0,1,0,0,0,0,1,57,8,4
144,tixi,tiksi,6.012483069,1746,1.636241634,0.8065828,1.51339652,0.878202673,-1.419771369,0.813581618,-45.39086274,22.1949138,0,0,0,0,0,0,0,1,27,3,5
145,tskb,tateno,7.408523193,539,1.34234298,0.990568097,0.96057251,0.992762112,0.751306167,1.113428832,11.70050815,14.90914,0,0,0,1,0,0,0,1,47,2,7
146,ulab,ulaan-baator,15.01235343,1865,1.194427978,0.761391093,1.068690023,0.889053993,-0.263853733,1.165232778,1.680867867,40.20086741,0,0,0,0,0,0,0,1,27,3,3
148,vndp,vandenberg afb: ca.,21.93582336,1772,3.09760236,0.898054604,1.062923942,0.961201675,-1.632426178,2.633294207,-13.74458056,19.96901408,0,0,0,0,0,0,0,1,49,8,0
149,whit,withehorse: y.t.,9.249443434,845,1.835363546,0.737235085,1.155241565,0.903456571,-0.873453966,1.615154718,-7.954918679,49.8229658,0,0,0,0,0,0,0,1,81,8,4
152,wuhn,wuhan,23.49685163,44,3.167158064,0.951815532,0.997117956,0.972207767,-0.636025159,3.13850778,-6.499374252,21.43257192,0,0,0,0,1,0,0,1,NA,NA,NA
154,hers,herstmonceux: west end,2.864975023,11601,2.258751309,0.957764285,1.031309622,0.985055949,-0.803309803,2.111169115,-5.534228858,24.47610479,0,0,0,0,0,1,0,0,81,8,4
155,hert,herstmonceux: west end,2.790752988,5431,1.618638434,0.977100208,1.012113936,0.991922421,-0.377007479,1.574265565,-2.60874014,31.89577974,0,0,0,0,0,1,0,0,81,8,4
157,brst,brest,9.671385131,1117,2.123747912,0.968621696,0.904014227,0.989765207,1.490931558,1.513102096,15.04505394,46.43989689,0,0,0,0,0,0,1,1,57,8,4
