X,Y,Name,Description
51.917,47.117,,"<table> <tr><td><b>src_id:</b><td>17075 <tr><td><b>Name:</b><td>ATYRAY <tr><td><b>Area:</b><td>KAZAKHSTAN <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17075"">Station details</a></center>"
-2.91475,53.5496,,"<table> <tr><td><b>src_id:</b><td>1096 <tr><td><b>Name:</b><td>AUGHTON <tr><td><b>Area:</b><td>LANCASHIRE <tr><td><b>Start date:</b><td>01-01-1978 <tr><td><b>End date:</b><td>31-12-1996 <tr><td><b>Postcode:</b><td>L39 5 </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=1096"">Station details</a></center>"
75.4,19.85,,"<table> <tr><td><b>src_id:</b><td>17462 <tr><td><b>Name:</b><td>AURANGABAD CHIKALTHAN AE <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17462"">Station details</a></center>"
113.583,54.483,,"<table> <tr><td><b>src_id:</b><td>17044 <tr><td><b>Name:</b><td>BAGDARIN <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17044"">Station details</a></center>"
75.083,46.799,,"<table> <tr><td><b>src_id:</b><td>17076 <tr><td><b>Name:</b><td>BALHASH <tr><td><b>Area:</b><td>KAZAKHSTAN <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17076"">Station details</a></center>"
77.583,12.967,,"<table> <tr><td><b>src_id:</b><td>17470 <tr><td><b>Name:</b><td>BANGALORE <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17470"">Station details</a></center>"
100.55,13.717,,"<table> <tr><td><b>src_id:</b><td>17515 <tr><td><b>Name:</b><td>BANGKOK <tr><td><b>Area:</b><td>THAILAND <tr><td><b>Start date:</b><td>01-01-1989 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17515"">Station details</a></center>"
78.367,55.333,,"<table> <tr><td><b>src_id:</b><td>17413 <tr><td><b>Name:</b><td>BARABINSK <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17413"">Station details</a></center>"
90.367,22.75,,"<table> <tr><td><b>src_id:</b><td>17439 <tr><td><b>Name:</b><td>BARISAL <tr><td><b>Area:</b><td>BANGLADESH <tr><td><b>Start date:</b><td>01-01-1996 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17439"">Station details</a></center>"
13.399,52.466,,"<table> <tr><td><b>src_id:</b><td>16896 <tr><td><b>Name:</b><td>BERLIN-TEMPELHOF <tr><td><b>Area:</b><td>GERMANY <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16896"">Station details</a></center>"
34.817,32.0,,"<table> <tr><td><b>src_id:</b><td>17418 <tr><td><b>Name:</b><td>BET DAGAN <tr><td><b>Area:</b><td>ISRAEL <tr><td><b>Start date:</b><td>01-01-1971 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17418"">Station details</a></center>"
35.483,33.816,,"<table> <tr><td><b>src_id:</b><td>17232 <tr><td><b>Name:</b><td>BEYROUTH (AEROPORT) <tr><td><b>Area:</b><td>LEBANON <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17232"">Station details</a></center>"
77.35,23.283,,"<table> <tr><td><b>src_id:</b><td>17455 <tr><td><b>Name:</b><td>BHOPAL/BAIRAGARH <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17455"">Station details</a></center>"
85.833,20.25,,"<table> <tr><td><b>src_id:</b><td>17460 <tr><td><b>Name:</b><td>BHUBANESWAR <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17460"">Station details</a></center>"
23.166,53.099,,"<table> <tr><td><b>src_id:</b><td>16931 <tr><td><b>Name:</b><td>BIALYSTOK <tr><td><b>Area:</b><td>POLAND <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16931"">Station details</a></center>"
19.016,74.516,,"<table> <tr><td><b>src_id:</b><td>16601 <tr><td><b>Name:</b><td>BJORNOYA <tr><td><b>Area:</b><td>NORWAY <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16601"">Station details</a></center>"
127.5,50.533,,"<table> <tr><td><b>src_id:</b><td>17055 <tr><td><b>Name:</b><td>BLAGOVESCENSK <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17055"">Station details</a></center>"
14.366,67.266,,"<table> <tr><td><b>src_id:</b><td>16603 <tr><td><b>Name:</b><td>BODO VI <tr><td><b>Area:</b><td>NORWAY <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=16603"">Station details</a></center>"
89.367,24.85,,"<table> <tr><td><b>src_id:</b><td>17433 <tr><td><b>Name:</b><td>BOGRA <tr><td><b>Area:</b><td>BANGLADESH <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17433"">Station details</a></center>"
97.449,58.383,,"<table> <tr><td><b>src_id:</b><td>17037 <tr><td><b>Name:</b><td>BOGUCANY <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17037"">Station details</a></center>"
34.05,57.9,,"<table> <tr><td><b>src_id:</b><td>17400 <tr><td><b>Name:</b><td>BOLOGOE <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17400"">Station details</a></center>"
72.85,19.117,,"<table> <tr><td><b>src_id:</b><td>17461 <tr><td><b>Name:</b><td>BOMBAY / SANTACRUZ <tr><td><b>Area:</b><td>INDIA <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17461"">Station details</a></center>"
90.016,61.599,,"<table> <tr><td><b>src_id:</b><td>17000 <tr><td><b>Name:</b><td>BOR <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17000"">Station details</a></center>"
-0.699,44.833,,"<table> <tr><td><b>src_id:</b><td>17137 <tr><td><b>Name:</b><td>BORDEAUX/MERIGNAC <tr><td><b>Area:</b><td>FRANCE <tr><td><b>Start date:</b><td>01-01-1974 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17137"">Station details</a></center>"
116.517,50.4,,"<table> <tr><td><b>src_id:</b><td>17537 <tr><td><b>Name:</b><td>BORZJA <tr><td><b>Area:</b><td>RUSSIAN FEDERATION <tr><td><b>Start date:</b><td>01-01-1983 <tr><td><b>End date:</b><td>Current </table> <center><a href=""http://badc.nerc.ac.uk/cgi-bin/midas_stations/station_details.cgi.py?id=17537"">Station details</a></center>"
